iter	RMSE
0	20696.88875
1	18880.39688
2	17250.22358
3	15797.91859
4	14489.38113
5	13328.69268
6	12301.12032
7	11377.72761
8	10557.88424
9	9837.065776
10	9200.085741
11	8631.57874
12	8142.739445
13	7712.562223
14	7346.151798
15	7008.895509
16	6727.439309
17	6485.785737
18	6276.760003
19	6099.025474
20	5944.399918
21	5812.603779
22	5687.917444
23	5590.529964
24	5505.121048
25	5432.723726
26	5370.656969
27	5317.091359
28	5266.580203
29	5219.215346
30	5180.362233
31	5140.847075
32	5104.191856
33	5078.757477
34	5054.212085
35	5030.341942
36	5008.479392
37	4987.322974
38	4968.655006
39	4947.762314
40	4934.135833
41	4921.069118
42	4910.946718
43	4893.013065
44	4880.022098
45	4866.461035
46	4852.52118
47	4837.974079
48	4827.884623
49	4820.666735
50	4808.303113
51	4799.436676
52	4791.986444
53	4786.208285
54	4769.190118
55	4764.220078
56	4753.998844
57	4744.783376
58	4738.256041
59	4729.56728
60	4724.488089
61	4715.814646
62	4704.792321
63	4700.914621
64	4696.101497
65	4693.12784
66	4683.336521
67	4675.219649
68	4672.229769
69	4666.860342
70	4663.155116
71	4654.273231
72	4648.604008
73	4644.630542
74	4635.677281
75	4633.046979
76	4626.697551
77	4621.235003
78	4614.961128
79	4610.665422
80	4603.996901
81	4600.67481
82	4593.285806
83	4589.311259
84	4585.933497
85	4582.8081
86	4579.983422
87	4573.490316
88	4566.525314
89	4561.17802
90	4558.756152
91	4555.03104
92	4548.778827
93	4546.381595
94	4541.553595
95	4539.480218
96	4536.409245
97	4534.033493
98	4526.890809
99	4524.246024
100	4518.743112
101	4517.038016
102	4512.829142
103	4508.054014
104	4505.716207
105	4501.301639
106	4494.793153
107	4490.532718
108	4488.48375
109	4486.756196
110	4478.667665
111	4474.655142
112	4472.483334
113	4470.054456
114	4461.038879
115	4459.195083
116	4456.869053
117	4454.052558
118	4451.878438
119	4448.147149
120	4446.866226
121	4443.607183
122	4441.516636
123	4438.882617
124	4431.84791
125	4426.862566
126	4423.026966
127	4419.513307
128	4414.939139
129	4413.646937
130	4408.89574
131	4404.171849
132	4400.026807
133	4395.98796
134	4394.362231
135	4391.480497
136	4387.907574
137	4386.702913
138	4381.496633
139	4375.82554
140	4373.53337
141	4369.873301
142	4368.935795
143	4364.594078
144	4362.514911
145	4359.476619
146	4356.336077
147	4354.633302
148	4352.073061
149	4348.641128
150	4344.417356
151	4342.002946
152	4339.298071
153	4337.747748
154	4336.358015
155	4334.762817
156	4329.345906
157	4324.571614
158	4323.686666
159	4320.050236
160	4318.33711
161	4316.773327
162	4315.836536
163	4312.893044
164	4311.049024
165	4308.379094
166	4306.401837
167	4304.645454
168	4303.027859
169	4301.31059
170	4300.115325
171	4299.114005
172	4297.720337
173	4296.471624
174	4295.278247
175	4294.65687
176	4290.822886
177	4288.760672
178	4285.754843
179	4284.419527
180	4282.26423
181	4279.707212
182	4276.609687
183	4275.257297
184	4271.376493
185	4270.359852
186	4269.599915
187	4268.165646
188	4267.209624
189	4261.439255
190	4257.409926
191	4255.102729
192	4252.453129
193	4251.173371
194	4249.583936
195	4248.307791
196	4247.385381
197	4245.10668
198	4243.632046
199	4237.832502
200	4236.508043
201	4234.663787
202	4233.73384
203	4232.665999
204	4229.304109
205	4228.195957
206	4226.449119
207	4225.292059
208	4224.130687
209	4223.102228
210	4222.412367
211	4218.036927
212	4214.232604
213	4211.831147
214	4210.643331
215	4207.045141
216	4205.847739
217	4204.707123
218	4202.701065
219	4201.554089
220	4200.982037
221	4200.336058
222	4198.460304
223	4193.971545
224	4190.6554
225	4189.489811
226	4188.105921
227	4187.628704
228	4183.724419
229	4181.542252
230	4181.076896
231	4178.608465
232	4176.854105
233	4175.451824
234	4173.644649
235	4172.635513
236	4171.824245
237	4169.733688
238	4169.080139
239	4167.415478
240	4165.615516
241	4163.825939
242	4159.886009
243	4159.295559
244	4158.527831
245	4157.559617
246	4154.613794
247	4152.85646
248	4151.209513
249	4150.680359
250	4148.94378
251	4148.473462
252	4146.898182
253	4145.707999
254	4145.251128
255	4144.580469
256	4142.833638
257	4142.360381
258	4141.457514
259	4139.637131
260	4136.790163
261	4134.026437
262	4132.235907
263	4130.895669
264	4130.123365
265	4127.559579
266	4126.248064
267	4124.601227
268	4123.880527
269	4123.135015
270	4121.902149
271	4120.890301
272	4120.544946
273	4119.806739
274	4117.527475
275	4116.512449
276	4114.238717
277	4112.368489
278	4111.572835
279	4110.402912
280	4109.186755
281	4107.848527
282	4105.757718
283	4104.419165
284	4103.251952
285	4101.378663
286	4100.548536
287	4099.903271
288	4098.080524
289	4094.897989
290	4093.612482
291	4091.783055
292	4091.05838
293	4089.471826
294	4088.23425
295	4087.19856
296	4085.250515
297	4083.743288
298	4082.583406
299	4082.012773
300	4080.984604
301	4078.963917
302	4078.005996
303	4077.002448
304	4076.537611
305	4075.909474
306	4075.361706
307	4073.871535
308	4072.520353
309	4071.074477
310	4070.205301
311	4068.38705
312	4067.057289
313	4065.358864
314	4063.949215
315	4063.463728
316	4062.03817
317	4061.594532
318	4060.412368
319	4057.728734
320	4056.822022
321	4055.791443
322	4055.162595
323	4053.121531
324	4052.094574
325	4051.304104
326	4049.910326
327	4049.012409
328	4047.205333
329	4046.57771
330	4046.109719
331	4043.554927
332	4042.689264
333	4042.10077
334	4039.261139
335	4037.590132
336	4036.904554
337	4035.374988
338	4034.318336
339	4033.1993
340	4032.483843
341	4031.092488
342	4030.49955
343	4028.368525
344	4027.855978
345	4025.799172
346	4025.134951
347	4024.595637
348	4023.181418
349	4022.482731
350	4022.255296
351	4021.756955
352	4019.540356
353	4018.155462
354	4016.113648
355	4014.881033
356	4014.182493
357	4013.601352
358	4011.894458
359	4009.740883
360	4008.896657
361	4007.232983
362	4006.326047
363	4005.90973
364	4004.079671
365	4002.590276
366	4001.747398
367	4001.084081
368	4000.766704
369	3998.727505
370	3997.310273
371	3996.874043
372	3995.697714
373	3994.853681
374	3992.266349
375	3991.605879
376	3991.196081
377	3990.80217
378	3989.52755
379	3987.696023
380	3986.953441
381	3986.402958
382	3985.495634
383	3984.325079
384	3982.476643
385	3980.158914
386	3979.256236
387	3978.878163
388	3977.745384
389	3977.061164
390	3976.497303
391	3975.111249
392	3973.439227
393	3972.309952
394	3971.788448
395	3970.976813
396	3969.946606
397	3968.940741
398	3967.321642
399	3965.877067
400	3964.760778
401	3964.308166
402	3963.87064
403	3963.126198
404	3960.774528
405	3960.206001
406	3959.187387
407	3958.602552
408	3958.210972
409	3957.164652
410	3956.416652
411	3955.919142
412	3954.597576
413	3953.902469
414	3952.614169
415	3951.716297
416	3951.401763
417	3951.064345
418	3950.795199
419	3950.260438
420	3949.312821
421	3948.086843
422	3947.718814
423	3946.319621
424	3944.181257
425	3942.659634
426	3941.686233
427	3940.211028
428	3939.626734
429	3938.751097
430	3938.083474
431	3937.275469
432	3933.650069
433	3933.321166
434	3932.58868
435	3931.407695
436	3930.79898
437	3929.623945
438	3928.720343
439	3928.392121
440	3927.821111
441	3927.241378
442	3926.647761
443	3925.150563
444	3923.68125
445	3923.210682
446	3921.954734
447	3921.469729
448	3920.281962
449	3919.719967
450	3918.279774
451	3917.223655
452	3916.06329
453	3915.512609
454	3914.735317
455	3914.223297
456	3912.722225
457	3912.200254
458	3911.078182
459	3910.431575
460	3909.758325
461	3908.731892
462	3908.038625
463	3907.262964
464	3906.860291
465	3905.575396
466	3904.355776
467	3903.884853
468	3902.960977
469	3901.444041
470	3900.680826
471	3900.442649
472	3899.567381
473	3897.986976
474	3897.076417
475	3896.011443
476	3895.329089
477	3894.59741
478	3894.271279
479	3893.215998
480	3892.766168
481	3891.890963
482	3889.466246
483	3888.40543
484	3887.559611
485	3887.101096
486	3886.154069
487	3884.248288
488	3883.486829
489	3879.867699
490	3876.717587
491	3876.151826
492	3875.364342
493	3874.369901
494	3871.843491
495	3870.89459
496	3869.608688
497	3868.831998
498	3868.189455
499	3867.271622
500	3866.825609
501	3866.513477
502	3866.0345
503	3865.859457
504	3864.92768
505	3864.58711
506	3863.49167
507	3863.096994
508	3862.414935
509	3861.835168
510	3861.686017
511	3860.318494
512	3859.78961
513	3858.360027
514	3857.772186
515	3855.90009
516	3855.130378
517	3854.722287
518	3853.440519
519	3852.870481
520	3852.69773
521	3849.67798
522	3847.066794
523	3846.333984
524	3845.70377
525	3844.85702
526	3844.16971
527	3842.907698
528	3842.580517
529	3842.011218
530	3841.675717
531	3839.847576
532	3838.939016
533	3837.722579
534	3836.535532
535	3835.805173
536	3834.771227
537	3834.310219
538	3832.955216
539	3832.485049
540	3831.957224
541	3831.338522
542	3830.655229
543	3829.535121
544	3827.04368
545	3826.020241
546	3824.86513
547	3824.355611
548	3823.443464
549	3823.08998
550	3822.655456
551	3821.505577
552	3820.847599
553	3820.276725
554	3819.528272
555	3819.186129
556	3817.623951
557	3817.281762
558	3816.595446
559	3815.892319
560	3815.454728
561	3814.621697
562	3812.594354
563	3811.718244
564	3810.906565
565	3810.62958
566	3810.198948
567	3809.466432
568	3809.006708
569	3807.798422
570	3806.470235
571	3805.103344
572	3804.423345
573	3803.872351
574	3802.803824
575	3802.571845
576	3802.003221
577	3801.427307
578	3800.530392
579	3799.685439
580	3798.850681
581	3797.551245
582	3796.846066
583	3796.067642
584	3795.518248
585	3794.54124
586	3794.029957
587	3793.004435
588	3792.21034
589	3791.862264
