iter	Passed	Remaining
0	267	267361
1	336	168062
2	412	137084
3	483	120379
4	571	113726
5	702	116313
6	902	127992
7	1077	133597
8	1153	127035
9	1233	122143
10	1290	116001
11	1387	114231
12	1442	109527
13	1495	105327
14	1564	102760
15	1623	99869
16	1688	97611
17	1756	95817
18	1842	95155
19	1906	93406
20	1985	92557
21	2084	92665
22	2189	93016
23	2258	91850
24	2319	90470
25	2396	89788
26	2454	88438
27	2517	87387
28	2587	86637
29	2649	85653
30	2704	84524
31	2763	83608
32	2838	83172
33	2969	84362
34	3053	84182
35	3181	85189
36	3357	87386
37	3507	88788
38	3599	88690
39	3689	88538
40	3750	87719
41	3825	87266
42	3888	86540
43	3950	85839
44	4023	85377
45	4084	84704
46	4149	84129
47	4214	83588
48	4284	83147
49	4349	82645
50	4416	82188
51	4473	81560
52	4553	81361
53	4613	80820
54	4673	80301
55	4742	79944
56	4804	79489
57	4857	78891
58	4924	78541
59	4989	78163
60	5051	77759
61	5105	77242
62	5155	76681
63	5213	76241
64	5280	75951
65	5336	75515
66	5388	75041
67	5449	74685
68	5514	74399
69	5596	74350
70	5678	74299
71	5791	74651
72	5864	74476
73	5951	74478
74	6030	74379
75	6086	73994
76	6143	73645
77	6214	73457
78	6281	73226
79	6340	72914
80	6394	72553
81	6444	72148
82	6515	71988
83	6572	71672
84	6624	71311
85	6686	71058
86	6764	70990
87	6845	70940
88	6992	71576
89	7108	71878
90	7187	71795
91	7322	72272
92	7453	72691
93	7552	72789
94	7656	72942
95	7767	73148
96	7941	73925
97	8063	74218
98	8155	74222
99	8238	74145
100	8316	74028
101	8380	73784
102	8437	73477
103	8493	73175
104	8578	73123
105	8696	73342
106	8767	73169
107	8855	73140
108	8924	72954
109	8997	72796
110	9075	72687
111	9156	72598
112	9257	72665
113	9322	72457
114	9383	72212
115	9438	71924
116	9486	71597
117	9541	71316
118	9615	71186
119	9665	70882
120	9717	70590
121	9772	70332
122	9836	70136
123	9887	69846
124	9939	69578
125	9997	69350
126	10065	69189
127	10116	68920
128	10171	68675
129	10239	68524
130	10300	68332
131	10360	68128
132	10420	67928
133	10482	67743
134	10543	67558
135	10595	67312
136	10657	67137
137	10718	66953
138	10794	66863
139	10854	66680
140	10906	66443
141	10967	66266
142	11023	66062
143	11076	65844
144	11126	65608
145	11179	65393
146	11252	65296
147	11305	65082
148	11356	64864
149	11412	64669
150	11471	64501
151	11540	64381
152	11598	64209
153	11649	63996
154	11709	63836
155	11768	63670
156	11828	63510
157	11887	63349
158	11945	63180
159	12013	63070
160	12063	62864
161	12116	62676
162	12171	62502
163	12238	62388
164	12290	62195
165	12345	62023
166	12395	61829
167	12463	61722
168	12513	61531
169	12567	61358
170	12627	61217
171	12694	61112
172	12747	60939
173	12799	60761
174	12852	60591
175	12924	60512
176	12977	60343
177	13029	60171
178	13081	59999
179	13148	59897
180	13198	59720
181	13250	59553
182	13318	59459
183	13376	59321
184	13429	59164
185	13483	59010
186	13539	58865
187	13723	59273
188	13827	59335
189	13887	59205
190	13944	59061
191	14002	58926
192	14059	58786
193	14121	58668
194	14175	58520
195	14257	58486
196	14355	58516
197	14428	58443
198	14491	58330
199	14562	58250
200	14661	58279
201	14725	58174
202	14813	58161
203	14885	58082
204	14947	57968
205	14998	57811
206	15062	57702
207	15133	57621
208	15190	57491
209	15242	57340
210	15293	57188
211	15348	57050
212	15415	56957
213	15472	56828
214	15527	56693
215	15594	56603
216	15656	56491
217	15709	56352
218	15763	56214
219	15826	56112
220	15889	56008
221	15941	55866
222	15993	55727
223	16052	55609
224	16119	55522
225	16174	55395
226	16227	55259
227	16285	55142
228	16351	55050
229	16405	54923
230	16456	54784
231	16518	54681
232	16585	54597
233	16643	54482
234	16696	54351
235	16761	54262
236	16820	54152
237	16878	54039
238	16935	53924
239	16990	53803
240	17053	53707
241	17106	53582
242	17159	53455
243	17209	53320
244	17278	53246
245	17331	53120
246	17390	53015
247	17441	52888
248	17504	52794
249	17552	52657
250	17604	52533
251	17661	52424
252	17727	52341
253	17785	52235
254	17838	52117
255	17905	52038
256	17959	51923
257	18010	51796
258	18060	51670
259	18117	51563
260	18187	51495
261	18244	51390
262	18301	51286
263	18360	51188
264	18419	51087
265	18475	50981
266	18531	50876
267	18589	50774
268	18653	50689
269	18703	50569
270	18752	50445
271	18805	50331
272	18870	50251
273	18929	50154
274	18978	50035
275	19031	49923
276	19099	49851
277	19167	49780
278	19229	49693
279	19315	49668
280	19377	49581
281	19426	49462
282	19480	49356
283	19531	49240
284	19596	49162
285	19651	49059
286	19705	48955
287	19759	48849
288	19825	48774
289	19926	48785
290	20013	48761
291	20093	48719
292	20159	48643
293	20228	48575
294	20303	48521
295	20405	48531
296	20493	48507
297	20552	48416
298	20608	48315
299	20661	48209
300	20724	48128
301	20790	48052
302	20840	47940
303	20892	47833
304	20955	47750
305	21026	47686
306	21075	47574
307	21132	47479
308	21189	47383
309	21250	47300
310	21304	47197
311	21357	47095
312	21414	47002
313	21482	46934
314	21536	46833
315	21585	46722
316	21644	46633
317	21709	46558
318	21765	46464
319	21818	46365
320	21877	46277
321	21944	46205
322	21995	46101
323	22048	46003
324	22110	45922
325	22179	45855
326	22233	45759
327	22289	45666
328	22355	45594
329	22412	45504
330	22470	45417
331	22525	45322
332	22580	45228
333	22652	45169
334	22707	45075
335	22763	44985
336	22819	44893
337	22884	44820
338	22943	44736
339	22996	44639
340	23045	44535
341	23112	44468
342	23163	44367
343	23216	44273
344	23278	44195
345	23344	44125
346	23396	44027
347	23447	43929
348	23506	43847
349	23570	43773
350	23625	43684
351	23680	43593
352	23744	43520
353	23812	43454
354	23867	43365
355	23923	43277
356	23977	43185
357	24049	43128
358	24108	43045
359	24162	42956
360	24229	42888
361	24294	42817
362	24346	42723
363	24395	42625
364	24457	42549
365	24523	42480
366	24577	42390
367	24630	42300
368	24679	42202
369	24755	42150
370	24810	42063
371	24861	41969
372	24920	41891
373	24981	41813
374	25036	41727
375	25088	41635
376	25142	41547
377	25207	41479
378	25260	41390
379	25315	41304
380	25381	41236
381	25438	41153
382	25540	41145
383	25633	41121
384	25710	41069
385	25775	41000
386	25843	40935
387	25939	40915
388	26018	40866
389	26127	40866
390	26195	40800
391	26257	40726
392	26325	40660
393	26394	40596
394	26451	40514
395	26511	40436
396	26572	40360
397	26631	40282
398	26708	40230
399	26770	40156
400	26830	40078
401	26898	40012
402	26965	39946
403	27026	39871
404	27087	39795
405	27154	39728
406	27221	39662
407	27285	39590
408	27339	39505
409	27406	39439
410	27468	39364
411	27525	39283
412	27592	39217
413	27659	39151
414	27731	39091
415	27795	39020
416	27852	38940
417	27938	38900
418	28012	38843
419	28070	38764
420	28130	38687
421	28198	38622
422	28263	38553
423	28329	38484
424	28392	38413
425	28471	38363
426	28550	38312
427	28633	38267
428	28696	38195
429	28772	38140
430	28832	38064
431	28890	37985
432	28969	37934
433	29038	37870
434	29111	37811
435	29188	37757
436	29318	37771
437	29381	37699
438	29448	37632
439	29518	37568
440	29637	37567
441	29899	37746
442	29987	37704
443	30052	37633
444	30119	37564
445	30187	37498
446	30248	37421
447	30305	37340
448	30380	37282
449	30452	37219
450	30534	37170
451	30598	37097
452	30695	37065
453	30761	36995
454	30866	36971
455	30977	36955
456	31053	36897
457	31197	36919
458	31390	36998
459	31481	36956
460	31559	36899
461	31628	36831
462	31723	36793
463	31794	36727
464	31896	36698
465	31984	36651
466	32046	36575
467	32101	36491
468	32172	36425
469	32251	36368
470	32305	36283
471	32355	36194
472	32406	36105
473	32463	36024
474	32532	35956
475	32598	35885
476	32662	35812
477	32786	35804
478	32851	35732
479	32918	35661
480	32979	35584
481	33050	35518
482	33116	35447
483	33178	35371
484	33243	35299
485	33314	35233
486	33380	35162
487	33447	35092
488	33513	35021
489	33595	34966
490	33664	34898
491	33731	34828
492	33794	34754
493	33866	34689
494	33930	34615
495	33991	34540
496	34062	34474
497	34167	34442
498	34234	34371
499	34300	34300
500	34359	34222
501	34433	34159
502	34496	34084
503	34561	34012
504	34646	33960
505	34722	33898
506	34789	33828
507	34851	33753
508	34933	33698
509	34993	33621
510	35057	33548
511	35137	33490
512	35214	33429
513	35275	33353
514	35332	33274
515	35396	33201
516	35463	33131
517	35530	33060
518	35601	32994
519	35689	32944
520	35762	32879
521	35821	32802
522	35888	32732
523	35957	32663
524	36020	32590
525	36095	32527
526	36178	32471
527	36275	32428
528	36340	32356
529	36404	32283
530	36480	32221
531	36555	32157
532	36624	32089
533	36703	32029
534	36760	31951
535	36821	31875
536	36891	31807
537	37002	31775
538	37095	31726
539	37177	31669
540	37246	31601
541	37314	31531
542	37433	31504
543	37526	31456
544	37647	31430
545	37751	31390
546	37810	31313
547	37869	31235
548	37952	31178
549	38025	31111
550	38076	31028
551	38145	30958
552	38212	30888
553	38270	30809
